url,primary_keyword,secondary_keyword,region,language,device
https://www.fourseasons.com/thepearlqatar/seasonal/ramadan/,ramadan in qatar,,QA,en,mobile
https://www.fourseasons.com/thepearlqatar/spa/,spa doha,day spa doha,QA,en,mobile
https://www.fourseasons.com/thepearlqatar/spa/fitness/,gym in the pearl,,QA,en,mobile
https://www.fourseasons.com/thepearlqatar/villa-residence-rentals/,vacation rentals qatar,,QA,en,mobile
https://www.fourseasons.com/dubaidifc/,luxury hotel in dubai,,AE,en,mobile
https://www.fourseasons.com/dubaidifc/accommodations/,accommodations in DIFC,,AE,en,mobile
https://www.fourseasons.com/dubaidifc/dining/,fine dining dubai,,AE,en,mobile
https://www.fourseasons.com/dubaidifc/experiences/,dubai experiences,,AE,en,mobile
https://www.fourseasons.com/dubaidifc/offers/,dubai hotel offers,,AE,en,mobile
https://www.fourseasons.com/dubaidifc/photos-and-videos/,DIFC photos,,AE,en,mobile
https://www.fourseasons.com/dubaidifc/spa/,spa hotel in dubai,,AE,en,mobile
https://www.fourseasons.com/dubaijb/,Dubai Beach Resort,luxury hotel dubai,AE,en,mobile
https://www.fourseasons.com/dubaijb/accommodations/,Dubai luxury hotel rooms,,AE,en,mobile
https://www.fourseasons.com/dubaijb/dining/,luxury restaurants in dubai,,AE,en,mobile
https://www.fourseasons.com/dubaijb/experiences/,burj khalifa tour,,AE,en,mobile
https://www.fourseasons.com/dubaijb/offers/,dubai holiday offers,,AE,en,mobile
https://www.fourseasons.com/dubaijb/photos-and-videos/,jumeirah beach photos,,AE,en,mobile
https://www.fourseasons.com/dubaijb/spa/,spa in dubai,,AE,en,mobile
https://www.fourseasons.com/dubaijb/weddings/,dubai weddings,,AE,en,mobile
https://www.fourseasons.com/explorerpalau/,palau island resort | palau luxury resort​,micronesia resorts​ | palau liveaboard​ | palau explorer cruising resort​,PW,en,mobile
https://www.fourseasons.com/explorerpalau/accommodations/,on board living palau | luxury accommodation,,PW,en,mobile
https://www.fourseasons.com/explorerpalau/dining/,cruise fine dining | luxury yacht dining room​,,PW,en,mobile
https://www.fourseasons.com/explorerpalau/marine-marvels/,diving in palau,,PW,en,mobile
https://www.fourseasons.com/explorerpalau/offers/,palau vacation packages​ | palau tour package​,,PW,en,mobile
https://www.fourseasons.com/explorerpalau/photos-and-videos/,palau photos,,PW,en,mobile
https://www.fourseasons.com/explorerpalau/private-charters/,private charters palau | luxury yacht charter,,PW,en,mobile
https://www.fourseasons.com/explorerpalau/recreation-and-wellness/,wellness cruise​ | yoga cruise​,,PW,en,mobile
https://www.fourseasons.com/florence/,luxury hotels in florence,"hotels in florence italy city center,hotels in florence italy near duomo",IT,en,mobile
https://www.fourseasons.com/florence/accommodations/,florence luxury suites,suites in florence italy,IT,en,mobile
